iter	Passed	Remaining
0	18	18365
1	32	16143
2	48	16237
3	62	15601
4	76	15263
5	89	14906
6	103	14703
7	118	14717
8	133	14676
9	147	14581
10	160	14466
11	173	14315
12	187	14230
13	201	14171
14	214	14064
15	227	14003
16	241	13969
17	256	13971
18	271	14005
19	284	13963
20	299	13968
21	314	13982
22	331	14096
23	345	14063
24	360	14048
25	373	14008
26	387	13981
27	402	13963
28	415	13925
29	430	13904
30	444	13895
31	460	13919
32	475	13937
33	489	13901
34	504	13919
35	519	13918
36	533	13881
37	548	13873
38	562	13860
39	575	13804
40	587	13742
41	599	13670
42	610	13594
43	621	13502
44	632	13428
45	644	13357
46	655	13290
47	666	13216
48	677	13155
49	689	13104
50	701	13059
51	713	13008
52	726	12981
53	739	12960
54	752	12922
55	764	12879
56	776	12847
57	788	12800
58	802	12796
59	814	12757
60	828	12755
61	843	12757
62	856	12742
63	870	12729
64	883	12704
65	897	12700
66	916	12758
67	929	12735
68	943	12726
69	960	12755
70	972	12728
71	987	12721
72	1000	12705
73	1013	12678
74	1027	12672
75	1040	12653
76	1053	12627
77	1066	12603
78	1078	12573
79	1091	12551
80	1103	12517
81	1115	12492
82	1131	12499
83	1145	12488
84	1156	12450
85	1169	12433
86	1183	12422
87	1199	12428
88	1211	12404
89	1225	12388
90	1238	12369
91	1250	12339
92	1264	12333
93	1277	12308
94	1291	12303
95	1305	12295
96	1319	12281
97	1333	12271
98	1349	12277
99	1361	12257
100	1375	12243
101	1388	12227
102	1402	12210
103	1415	12195
104	1431	12205
105	1445	12193
106	1459	12180
107	1473	12170
108	1487	12157
109	1500	12144
110	1514	12127
111	1529	12128
112	1545	12130
113	1559	12123
114	1572	12100
115	1587	12095
116	1601	12084
117	1615	12077
118	1631	12080
119	1645	12063
120	1657	12044
121	1670	12022
122	1685	12018
123	1700	12012
124	1715	12006
125	1727	11984
126	1740	11963
127	1753	11946
128	1767	11934
129	1781	11923
130	1797	11920
131	1810	11904
132	1824	11894
133	1841	11898
134	1856	11893
135	1869	11877
136	1881	11851
137	1895	11839
138	1911	11837
139	1923	11816
140	1936	11798
141	1948	11772
142	1959	11744
143	1970	11716
144	1984	11698
145	1995	11674
146	2010	11666
147	2022	11642
148	2035	11624
149	2048	11605
150	2060	11587
151	2074	11572
152	2087	11558
153	2100	11538
154	2112	11513
155	2126	11506
156	2140	11491
157	2153	11474
158	2165	11453
159	2178	11438
160	2190	11417
161	2202	11393
162	2214	11373
163	2228	11359
164	2240	11339
165	2252	11316
166	2264	11293
167	2276	11272
168	2287	11248
169	2299	11228
170	2310	11203
171	2323	11186
172	2337	11172
173	2348	11148
174	2360	11125
175	2371	11102
176	2384	11089
177	2396	11066
178	2407	11043
179	2419	11021
180	2430	10999
181	2444	10985
182	2456	10966
183	2468	10947
184	2481	10931
185	2493	10912
186	2505	10890
187	2517	10872
188	2532	10868
189	2545	10851
190	2557	10831
191	2567	10806
192	2578	10782
193	2590	10760
194	2601	10737
195	2612	10717
196	2624	10696
197	2636	10678
198	2648	10660
199	2660	10642
200	2671	10621
201	2684	10603
202	2695	10584
203	2707	10563
204	2718	10543
205	2730	10525
206	2742	10504
207	2753	10484
208	2764	10463
209	2775	10442
210	2787	10421
211	2798	10403
212	2811	10388
213	2823	10370
214	2835	10352
215	2847	10335
216	2858	10312
217	2869	10294
218	2880	10273
219	2891	10252
220	2904	10237
221	2915	10215
222	2926	10198
223	2938	10179
224	2950	10162
225	2961	10143
226	2972	10123
227	2983	10103
228	2995	10085
229	3006	10066
230	3019	10050
231	3030	10031
232	3041	10011
233	3053	9994
234	3065	9978
235	3076	9959
236	3088	9943
237	3099	9924
238	3111	9907
239	3122	9889
240	3134	9870
241	3145	9852
242	3158	9839
243	3169	9820
244	3181	9803
245	3192	9786
246	3204	9768
247	3215	9751
248	3227	9733
249	3237	9713
250	3249	9695
251	3260	9677
252	3272	9660
253	3282	9641
254	3293	9622
255	3304	9604
256	3316	9586
257	3328	9572
258	3340	9557
259	3351	9539
260	3364	9525
261	3376	9509
262	3388	9494
263	3398	9475
264	3409	9457
265	3419	9436
266	3430	9419
267	3441	9401
268	3452	9382
269	3464	9367
270	3475	9350
271	3487	9333
272	3497	9313
273	3508	9295
274	3520	9281
275	3530	9262
276	3541	9244
277	3553	9228
278	3566	9215
279	3577	9198
280	3588	9182
281	3600	9166
282	3610	9148
283	3623	9134
284	3634	9118
285	3645	9101
286	3656	9085
287	3679	9096
288	3698	9098
289	3715	9096
290	3728	9084
291	3739	9066
292	3751	9052
293	3762	9035
294	3773	9017
295	3784	9000
296	3795	8982
297	3806	8967
298	3819	8954
299	3830	8937
300	3841	8921
301	3853	8907
302	3866	8893
303	3878	8879
304	3890	8865
305	3901	8849
306	3914	8836
307	3925	8820
308	3937	8805
309	3949	8791
310	3961	8776
311	3972	8760
312	3983	8743
313	3994	8726
314	4005	8709
315	4017	8695
316	4029	8680
317	4040	8665
318	4051	8649
319	4063	8633
320	4074	8617
321	4085	8601
322	4096	8585
323	4107	8570
324	4119	8555
325	4131	8541
326	4141	8524
327	4152	8508
328	4164	8493
329	4175	8478
330	4186	8462
331	4197	8445
332	4208	8429
333	4219	8414
334	4230	8398
335	4241	8382
336	4253	8367
337	4265	8353
338	4276	8338
339	4286	8321
340	4298	8306
341	4309	8291
342	4321	8277
343	4333	8263
344	4344	8248
345	4356	8234
346	4367	8219
347	4380	8206
348	4391	8191
349	4403	8177
350	4414	8162
351	4425	8147
352	4438	8134
353	4450	8120
354	4460	8104
355	4473	8092
356	4483	8075
357	4494	8060
358	4506	8046
359	4518	8033
360	4545	8046
361	4563	8042
362	4580	8037
363	4591	8022
364	4601	8005
365	4612	7989
366	4623	7975
367	4635	7960
368	4647	7946
369	4658	7931
370	4668	7915
371	4680	7901
372	4691	7885
373	4702	7871
374	4714	7857
375	4727	7844
376	4739	7831
377	4750	7816
378	4761	7801
379	4773	7788
380	4785	7774
381	4796	7760
382	4807	7744
383	4818	7729
384	4831	7717
385	4843	7703
386	4854	7689
387	4865	7674
388	4876	7659
389	4889	7647
390	4901	7634
391	4912	7620
392	4925	7607
393	4937	7593
394	4948	7579
395	4959	7564
396	4970	7549
397	4982	7535
398	4995	7524
399	5006	7510
400	5018	7495
401	5028	7480
402	5039	7465
403	5050	7450
404	5063	7439
405	5078	7430
406	5093	7420
407	5109	7413
408	5122	7401
409	5133	7386
410	5144	7372
411	5155	7357
412	5167	7344
413	5178	7329
414	5189	7315
415	5201	7301
416	5214	7289
417	5225	7276
418	5236	7261
419	5248	7247
420	5259	7232
421	5270	7219
422	5281	7204
423	5292	7190
424	5304	7176
425	5315	7162
426	5326	7148
427	5337	7133
428	5348	7118
429	5358	7103
430	5370	7089
431	5381	7075
432	5393	7062
433	5404	7048
434	5415	7034
435	5426	7019
436	5437	7004
437	5448	6991
438	5459	6976
439	5470	6962
440	5481	6948
441	5491	6933
442	5503	6919
443	5514	6905
444	5528	6895
445	5540	6882
446	5553	6870
447	5566	6858
448	5578	6845
449	5589	6831
450	5600	6817
451	5612	6804
452	5624	6791
453	5637	6780
454	5650	6768
455	5662	6755
456	5675	6743
457	5687	6730
458	5699	6718
459	5711	6705
460	5723	6692
461	5736	6680
462	5749	6668
463	5761	6655
464	5773	6642
465	5785	6629
466	5796	6615
467	5808	6602
468	5819	6589
469	5832	6577
470	5844	6564
471	5856	6551
472	5868	6538
473	5881	6527
474	5893	6513
475	5905	6501
476	5918	6488
477	5933	6479
478	5945	6467
479	5958	6454
480	5971	6442
481	5983	6430
482	5996	6418
483	6006	6403
484	6017	6390
485	6030	6377
486	6042	6365
487	6054	6352
488	6066	6339
489	6078	6326
490	6090	6313
491	6103	6302
492	6115	6289
493	6128	6277
494	6143	6267
495	6157	6256
496	6169	6244
497	6182	6232
498	6194	6218
499	6206	6206
500	6218	6193
501	6230	6181
502	6242	6167
503	6255	6156
504	6268	6143
505	6280	6131
506	6292	6118
507	6304	6106
508	6316	6093
509	6336	6087
510	6354	6080
511	6367	6068
512	6378	6055
513	6390	6042
514	6402	6029
515	6417	6019
516	6430	6007
517	6441	5993
518	6454	5981
519	6467	5969
520	6479	5957
521	6492	5945
522	6505	5932
523	6517	5920
524	6529	5907
525	6542	5895
526	6553	5881
527	6565	5868
528	6577	5856
529	6589	5843
530	6601	5830
531	6613	5817
532	6624	5804
533	6635	5790
534	6647	5777
535	6658	5764
536	6670	5751
537	6683	5739
538	6694	5725
539	6706	5712
540	6717	5699
541	6730	5687
542	6742	5674
543	6755	5662
544	6767	5649
545	6778	5636
546	6789	5623
547	6801	5610
548	6813	5596
549	6826	5584
550	6837	5571
551	6850	5559
552	6861	5546
553	6873	5533
554	6886	5521
555	6897	5508
556	6909	5495
557	6921	5482
558	6933	5470
559	6946	5458
560	6958	5445
561	6970	5432
562	6983	5420
563	6995	5407
564	7007	5395
565	7021	5383
566	7034	5371
567	7046	5359
568	7057	5346
569	7069	5332
570	7081	5320
571	7092	5307
572	7104	5294
573	7117	5282
574	7128	5269
575	7140	5256
576	7157	5246
577	7180	5242
578	7197	5233
579	7211	5222
580	7227	5212
581	7241	5200
582	7252	5187
583	7266	5176
584	7279	5163
585	7291	5151
586	7303	5138
587	7315	5126
588	7329	5114
589	7341	5102
590	7353	5089
591	7365	5076
592	7378	5064
593	7392	5052
594	7407	5041
595	7421	5030
596	7436	5020
597	7449	5007
598	7462	4995
599	7476	4984
600	7488	4971
601	7502	4959
602	7515	4948
603	7531	4937
604	7544	4925
605	7557	4913
606	7571	4902
607	7584	4890
608	7597	4878
609	7608	4864
610	7621	4852
611	7636	4841
612	7649	4829
613	7662	4817
614	7675	4804
615	7688	4792
616	7700	4779
617	7714	4768
618	7727	4756
619	7752	4751
620	7777	4746
621	7802	4741
622	7817	4730
623	7829	4717
624	7845	4707
625	7858	4695
626	7872	4683
627	7885	4670
628	7902	4661
629	7918	4650
630	7931	4637
631	7944	4625
632	7955	4612
633	7966	4599
634	7978	4585
635	7988	4572
636	8000	4559
637	8011	4545
638	8023	4533
639	8040	4522
640	8063	4516
641	8081	4506
642	8094	4494
643	8107	4481
644	8120	4469
645	8133	4457
646	8146	4444
647	8160	4432
648	8173	4420
649	8186	4407
650	8198	4395
651	8211	4382
652	8223	4369
653	8235	4356
654	8248	4344
655	8261	4332
656	8274	4320
657	8287	4307
658	8300	4295
659	8313	4282
660	8328	4271
661	8342	4259
662	8356	4247
663	8370	4235
664	8385	4224
665	8401	4213
666	8420	4203
667	8434	4191
668	8447	4179
669	8460	4167
670	8473	4154
671	8484	4141
672	8495	4127
673	8507	4114
674	8519	4102
675	8533	4090
676	8547	4077
677	8560	4065
678	8572	4052
679	8583	4039
680	8595	4026
681	8607	4013
682	8619	4000
683	8631	3987
684	8646	3975
685	8657	3962
686	8669	3949
687	8681	3937
688	8692	3923
689	8703	3910
690	8715	3897
691	8727	3884
692	8739	3871
693	8751	3858
694	8763	3845
695	8774	3832
696	8787	3820
697	8800	3807
698	8812	3794
699	8825	3782
700	8838	3770
701	8851	3757
702	8864	3744
703	8876	3732
704	8888	3719
705	8900	3706
706	8912	3693
707	8924	3680
708	8937	3668
709	8949	3655
710	8960	3642
711	8972	3629
712	8983	3616
713	9007	3608
714	9031	3600
715	9048	3588
716	9059	3575
717	9070	3562
718	9082	3549
719	9093	3536
720	9104	3523
721	9119	3511
722	9133	3499
723	9145	3486
724	9158	3473
725	9169	3460
726	9181	3447
727	9192	3434
728	9204	3421
729	9216	3408
730	9228	3395
731	9239	3382
732	9251	3369
733	9264	3357
734	9276	3344
735	9287	3331
736	9298	3318
737	9308	3304
738	9321	3292
739	9334	3279
740	9346	3266
741	9357	3253
742	9368	3240
743	9380	3227
744	9393	3215
745	9406	3202
746	9418	3189
747	9430	3177
748	9442	3164
749	9454	3151
750	9466	3138
751	9478	3125
752	9489	3112
753	9501	3099
754	9514	3087
755	9528	3075
756	9539	3062
757	9550	3049
758	9561	3035
759	9573	3023
760	9585	3010
761	9596	2997
762	9608	2984
763	9620	2971
764	9633	2959
765	9645	2946
766	9659	2934
767	9670	2921
768	9681	2908
769	9692	2895
770	9703	2882
771	9714	2869
772	9726	2856
773	9737	2843
774	9748	2830
775	9761	2817
776	9772	2804
777	9783	2791
778	9795	2778
779	9805	2765
780	9819	2753
781	9832	2740
782	9845	2728
783	9856	2715
784	9867	2702
785	9877	2689
786	9889	2676
787	9900	2663
788	9912	2650
789	9924	2638
790	9938	2626
791	9950	2613
792	9962	2600
793	9974	2587
794	9986	2575
795	9997	2562
796	10010	2549
797	10022	2537
798	10035	2524
799	10047	2511
800	10058	2498
801	10070	2486
802	10081	2473
803	10093	2460
804	10105	2447
805	10118	2435
806	10131	2423
807	10143	2410
808	10154	2397
809	10166	2384
810	10177	2371
811	10188	2359
812	10200	2346
813	10212	2333
814	10224	2320
815	10236	2308
816	10248	2295
817	10261	2283
818	10272	2270
819	10283	2257
820	10294	2244
821	10306	2231
822	10329	2221
823	10352	2211
824	10371	2200
825	10384	2187
826	10395	2174
827	10407	2161
828	10420	2149
829	10431	2136
830	10443	2123
831	10457	2111
832	10469	2098
833	10483	2086
834	10495	2074
835	10507	2061
836	10520	2048
837	10534	2036
838	10547	2024
839	10559	2011
840	10571	1998
841	10583	1985
842	10596	1973
843	10609	1960
844	10622	1948
845	10633	1935
846	10645	1922
847	10656	1910
848	10668	1897
849	10679	1884
850	10691	1872
851	10703	1859
852	10716	1846
853	10727	1834
854	10740	1821
855	10752	1808
856	10763	1796
857	10775	1783
858	10789	1770
859	10800	1758
860	10811	1745
861	10823	1732
862	10836	1720
863	10847	1707
864	10859	1694
865	10872	1682
866	10883	1669
867	10894	1656
868	10907	1644
869	10920	1631
870	10932	1619
871	10944	1606
872	10954	1593
873	10967	1581
874	10982	1568
875	10995	1556
876	11010	1544
877	11022	1531
878	11033	1518
879	11045	1506
880	11058	1493
881	11069	1480
882	11083	1468
883	11094	1455
884	11108	1443
885	11119	1430
886	11133	1418
887	11147	1405
888	11159	1393
889	11171	1380
890	11185	1368
891	11198	1355
892	11209	1343
893	11225	1330
894	11235	1318
895	11246	1305
896	11257	1292
897	11269	1280
898	11280	1267
899	11293	1254
900	11304	1242
901	11316	1229
902	11329	1217
903	11343	1204
904	11358	1192
905	11373	1179
906	11386	1167
907	11400	1155
908	11411	1142
909	11424	1129
910	11438	1117
911	11453	1105
912	11465	1092
913	11477	1079
914	11488	1067
915	11500	1054
916	11512	1042
917	11523	1029
918	11552	1018
919	11578	1006
920	11612	996
921	11648	985
922	11662	972
923	11681	960
924	11694	948
925	11705	935
926	11717	922
927	11731	910
928	11743	897
929	11755	884
930	11768	872
931	11780	859
932	11792	846
933	11805	834
934	11816	821
935	11828	808
936	11840	796
937	11852	783
938	11864	770
939	11875	758
940	11886	745
941	11899	732
942	11910	719
943	11922	707
944	11934	694
945	11946	681
946	11959	669
947	11971	656
948	11982	643
949	11995	631
950	12006	618
951	12018	605
952	12030	593
953	12064	581
954	12098	570
955	12140	558
956	12178	547
957	12217	535
958	12261	524
959	12298	512
960	12339	500
961	12377	488
962	12419	477
963	12457	465
964	12495	453
965	12528	440
966	12567	428
967	12606	416
968	12645	404
969	12690	392
970	12724	380
971	12763	367
972	12803	355
973	12845	342
974	12884	330
975	12921	317
976	12960	305
977	12994	292
978	13032	279
979	13077	266
980	13112	253
981	13150	241
982	13191	228
983	13231	215
984	13271	202
985	13310	188
986	13357	175
987	13398	162
988	13433	149
989	13476	136
990	13511	122
991	13551	109
992	13591	95
993	13633	82
994	13670	68
995	13709	55
996	13748	41
997	13790	27
998	13826	13
999	13862	0
